time,arrival_id,delivery_id,promise_time,delivery_fee,merchant_latitude,merchant_longitude,user_latitude,user_longitude
31,86.0,87.0,37.0,4.4,31.2821,121.4615,31.2838,121.4797
36,75.0,84.0,34.0,4.2,31.2782,121.4571,31.2867,121.4464
107,11.0,21.0,27.0,4.3,31.2186,121.4139,31.2244,121.4105
38,11.0,11.0,32.0,4.2,31.2107,121.4101,31.2145,121.4185
44,11.0,11.0,24.0,3.4,31.2187,121.4147,31.217,121.4172
75,11.0,21.0,32.0,4.2,31.2135,121.4125,31.2209,121.4108
136,11.0,12.0,30.0,3.6,31.2139,121.4137,31.2157,121.4202
125,11.0,11.0,24.0,3.6,31.2102,121.4198,31.212,121.4169
37,11.0,11.0,23.0,3.9000000000000004,31.2174,121.4163,31.2174,121.4144
3,11.0,11.0,31.0,4.0,31.2155,121.4195,31.217,121.4101
127,11.0,11.0,30.0,4.1,31.2162,121.419,31.2101,121.4172
25,11.0,31.0,46.0,6.0,31.2102,121.4198,31.2344,121.4128
57,11.0,21.0,35.0,5.0,31.2138,121.42,31.2266,121.4136
34,11.0,11.0,28.0,3.4,31.2135,121.4125,31.21,121.4131
11,6.0,6.0,30.0,3.6,31.2048,121.4696,31.207,121.4638
45,76.0,75.0,31.0,4.4,31.2732,121.4619,31.271,121.4527
123,76.0,73.0,44.0,5.4,31.2733,121.4612,31.2793,121.4345
61,76.0,75.0,37.0,4.800000000000001,31.2759,121.4696,31.2704,121.4524
32,15.0,26.0,42.0,5.0,31.2155,121.4508,31.2299,121.4696
5,71.0,61.0,27.0,3.9,31.2706,121.4147,31.2678,121.4179
5,71.0,62.0,35.0,4.5,31.2752,121.4161,31.2676,121.4292
63,61.0,60.0,33.0,4.0,31.265,121.4126,31.2664,121.402
129,71.0,70.0,32.0,4.5,31.2719,121.4121,31.2792,121.4019
65,71.0,60.0,36.0,4.5,31.2761,121.4138,31.2617,121.4075
29,71.0,72.0,28.0,3.8000000000000003,31.279,121.4146,31.2785,121.4216
30,71.0,72.0,27.0,4.3,31.2711,121.42,31.2719,121.4255
36,43.0,43.0,24.0,3.2,31.2448,121.434,31.2433,121.4341
36,43.0,43.0,26.0,3.3000000000000003,31.2434,121.4352,31.2434,121.4328
67,33.0,45.0,42.0,5.0,31.2312,121.4394,31.2446,121.4579
143,43.0,23.0,38.0,5.4,31.244,121.432,31.2261,121.4389
36,43.0,43.0,32.0,4.2,31.2482,121.4385,31.24,121.4343
125,11.0,0.0,36.0,4.6000000000000005,31.2174,121.4163,31.2057,121.4083
124,11.0,11.0,30.0,4.0,31.2104,121.4115,31.2162,121.41
65,12.0,11.0,34.0,4.3,31.2117,121.4299,31.2182,121.4172
19,75.0,85.0,31.0,4.4,31.2764,121.457,31.2843,121.4537
115,75.0,75.0,30.0,3.8,31.2713,121.4532,31.2798,121.4508
95,55.0,75.0,46.0,6.1,31.2527,121.4599,31.2791,121.4506
115,75.0,74.0,35.0,4.4,31.2799,121.4574,31.2713,121.445
135,75.0,43.0,55.0,6.6000000000000005,31.2798,121.4554,31.2486,121.4358
135,75.0,73.0,42.0,5.2,31.2755,121.4585,31.2782,121.4375
38,75.0,51.0,63.0,7.1,31.2764,121.4598,31.26,121.4136
21,75.0,84.0,36.0,4.2,31.2779,121.4547,31.2845,121.4435
60,75.0,84.0,35.0,4.6000000000000005,31.2704,121.4515,31.2835,121.4427
57,75.0,75.0,23.0,3.9000000000000004,31.2793,121.4593,31.2775,121.4589
82,75.0,56.0,42.0,5.7,31.2785,121.4508,31.2562,121.4629
19,75.0,85.0,34.0,4.7,31.2751,121.4579,31.2862,121.458
135,75.0,43.0,46.0,5.7,31.2706,121.4532,31.2496,121.4345
84,75.0,55.0,38.0,5.1,31.2762,121.457,31.2597,121.4582
38,75.0,60.0,68.0,8.3,31.2723,121.4598,31.2626,121.4024
116,75.0,74.0,30.0,4.7,31.2713,121.4532,31.2774,121.4428
135,75.0,63.0,42.0,5.3,31.2779,121.4547,31.2699,121.4339
60,75.0,84.0,42.0,4.8999999999999995,31.2706,121.4532,31.2881,121.4481
57,75.0,85.0,31.0,4.4,31.2767,121.45,31.2861,121.4513
115,75.0,74.0,28.0,4.0,31.2767,121.45,31.2726,121.4418
23,75.0,84.0,44.0,5.800000000000001,31.2723,121.4598,31.2899,121.4418
19,75.0,74.0,28.0,4.5,31.2713,121.4532,31.2752,121.444
20,75.0,74.0,26.0,4.0,31.2709,121.4555,31.2716,121.45
38,75.0,50.0,69.0,8.100000000000001,31.2799,121.4582,31.2548,121.4064
21,75.0,74.0,35.0,4.5,31.2751,121.4579,31.2771,121.4436
38,75.0,51.0,63.0,7.5,31.2799,121.4582,31.2556,121.4109
84,75.0,56.0,52.0,5.800000000000001,31.2795,121.4575,31.2511,121.4677
82,75.0,56.0,35.0,4.4,31.2704,121.4515,31.2594,121.4608
